Paragraph text,Classification_label
"But before that I want to stress the following things:
First, we are doing everything we can to combat this outbreak, based on the very latest scientific and medical advice.","0,0,0,0,0,0,0,0"
"Second, we have a truly brilliant NHS, where staff have responded with all the determination, compassion and skill that makes their service so revered across the world. And they will continue to have this government’s full support, my support, in tackling this virus on the frontline.","0,0,0,0,0,0,0,0"
"Third, we will set out further steps in the days and weeks ahead to help people protect themselves, their family and in particular the elderly and vulnerable.","0,0,0,0,0,0,0,0"
"And finally, while it is absolutely critical, it’s absolutely critical in managing the spread of this virus that we take the right decisions at the right time, based on the latest and best evidence. So we must not do things which have no or limited medical benefit, nor things which could turn out to be counterproductive.","0,0,0,0,0,0,0,0"
"There is no hiding from the fact that the coronavirus outbreak will present significant challenges for the UK, just as it does in other countries.","0,0,0,0,0,0,0,0"
"But if we continue to look out for one another, to pull together in a united and national effort, I have no doubt that we can and will rise to that challenge. And I’m now going to ask Patrick and then Chris to give their own perspective on where we are.","0,0,0,0,0,0,0,0"
"Good afternoon everybody and thank you very much for coming. I’ve just chaired a meeting of the government’s emergency committee including ministers from Scotland, Wales and Northern Ireland. And it’s clear that coronavirus, COVID-19, continues and will continue to spread across the world and our country over the next few months. We’ve done what can be done to contain this disease and this has bought us valuable time.","0,0,0,0,0,0,0,1"
"But it is now a global pandemic. And the number of cases will rise sharply and indeed the true number of cases is higher - perhaps much higher - than the number of cases we have so far confirmed with tests.
I’ve got to be clear, we’ve all got to be clear, that this is the worst public health crisis for a generation.","0,0,0,0,0,0,0,0"
"Some people compare it to seasonal flu. Alas, that is not right. Owing to the lack of immunity, this disease is more dangerous. And it’s going to spread further and I must level with you, level with the British public, many more families are going to lose loved ones before their time. And the Chief Scientific Adviser will set out the best information we have on that in a moment.","0,0,0,0,0,0,0,1"
"But as we’ve said over the last few weeks, we have a clear plan that we are now working through. And we are now moving to the next phase in that plan.","0,0,0,0,0,0,0,1"
"Because this is now not just to attempt to contain the disease as far as possible, but to delay its spread and thereby minimise the suffering. If we delay the peak even by a few weeks, then our NHS will be in a stronger state as the weather improves and fewer people suffer from normal respiratory diseases, more beds are available and we’ll have more time for medical research.","0,0,0,0,0,0,0,0"
We can also act to stretch the peak of the disease over a longer period so that our society is better able to cope.,"0,0,0,0,0,0,0,0"
The Chief Medical Officer will set out our lines of defence. We have to deploy these at the right time to maximise their effect. The most important task will be to protect our elderly and most vulnerable people during the peak weeks when there is the maximum risk of exposure to the disease and when the NHS will be under the most pressure. So the most dangerous period is not now but some weeks away depending on how fast it spreads.,"0,0,0,0,0,0,0,1"
"Today therefore we are moving forward with our plan. From tomorrow, if you have coronavirus symptoms, however mild – either a new continuous cough or a high temperature – then you should stay at home for at least 7 days to protect others and help slow the spread of the disease.","0,0,1,0,0,0,0,0"
We advise all those over 70 and those with serious medical conditions against going on cruises and we advise against international school trips.,"0,0,0,1,0,0,0,0"
"At some point in the next few weeks, we are likely to go further and if someone in a household has those symptoms, we will be asking everyone in the household to stay at home. We are not introducing this yet for reasons Sir Patrick will explain, but I want to signal now that this is coming down the track.","0,0,1,0,0,0,0,0"
We are considering the question of banning major public events such as sporting fixtures. The scientific advice as we’ve said over the last couple of weeks is that banning such events will have little effect on the spread.,"0,0,1,0,0,0,0,0"
But there is also the issue of the burden that such events can place on public services. So we’re discussing these issues with colleagues in all parts of the United Kingdom and will have more to say shortly about the timing of further action in that respect.,"0,0,0,0,0,0,0,0"
"At all stages, we have been guided by the science, and we will do the right thing at the right time. We are not - repeat not - closing schools now. The scientific advice is that this could do more harm than good at this time. But we are of course keeping this under review and this again may change as the disease spreads. Schools should only close if they are specifically advised to do so. And that remains our advice","0,0,0,0,0,0,0,0"
"There is no escaping the reality that these measures will cause severe disruption across our country for many months.The best scientific advice is that this will help us slow the disease and save lives. There will be detailed information available on the NHS website and from 111 online. But I want to stress something that is very important in the wake of what we’re saying this afternoon – I urge people, who think in view of what we’re saying about their potential symptoms that they should stay at home, not to call 111 but to use the internet for information if they can.","0,0,0,0,0,0,0,1"
"I also want at this stage to speak directly to older people. Because this disease is particularly dangerous for you, for older people, even though the vast majority this will be a mild to moderate illness, I know that many people will be very worried. And I think we should all be thinking about our elderly relatives, the more vulnerable members of their family, our neighbours, and everything we can do to protect them over the next few months. We’re going to need to mobilise millions of people to help and support each other. And I just want to you to know that the government will do all we can to help you and your family during this period. We’re not just going to be as you saw yesterday supporting the economy during this period, we will be providing money and many other forms of support, and helping communities to support each other.","0,0,0,0,0,0,0,0"
"And as we have done over the last few weeks, we will continue to provide, as soon as we have it, as much clear scientific and medical information as we can.","0,0,0,0,0,0,0,1"
"So I’d like to end by repeating the two important messages, with which you will have become familiar – it is still vital, perhaps more vital than ever – that we remember to wash our hands.","0,0,0,0,0,0,0,0"
"And lastly of course even if things seem tough now, just to remember, that we will get through this, this country will get through this epidemic, just as it has got through many tougher experiences before if we look out for each other and commit wholeheartedly to a full national effort.","0,0,0,0,0,0,0,0"
"Local, mayoral and Police and Crime Commissioner elections that were due to take place in May this year will be postponed until May 2021, the Government has confirmed today. The Government will also work with the devolved administrations to ensure that they have the necessary powers to take the same approach.","1,0,0,0,0,0,0,0"
The decision was taken following advice from the Government’s medical experts in relation to the response to the Covid-19 virus and the advice of those delivering elections. Legislation will now be brought forward to postpone the elections for 12 months. Further details will be set out in due course.,"1,0,0,0,0,0,0,0"
"Good afternoon everybody, thank you very much for coming. I wanted to bring everyone up to date with the national fight back against the new coronavirus and the decisions that we’ve just taken in COBR for the whole of the UK. As we said last week, our objective is to delay and flatten the peak of the epidemic by bringing forward the right measures at the right time, so that we minimise suffering and save lives. And everything we do is based scrupulously on the best scientific advice.","0,0,0,0,0,0,0,1"
"Last week we asked everyone to stay at home if you had one of two key symptoms: a high temperature or a new and continuous cough. Today, we need to go further, because according to SAGE [the Scientific Advisory Group for Emergencies] it looks as though we’re now approaching the fast growth part of the upward curve.","0,0,1,0,0,0,0,0"
"And without drastic action, cases could double every 5 or 6 days. So, first, we need to ask you to ensure that if you or anyone in your household has one of those two symptoms, then you should stay at home for fourteen days.","0,0,1,0,0,0,0,0"
"That means that if possible you should not go out even to buy food or essentials, other than for exercise, and in that case at a safe distance from others. If necessary, you should ask for help from others for your daily necessities. And if that is not possible, then you should do what you can to limit your social contact when you leave the house to get supplies.","0,0,1,0,0,0,0,0"
"So, second, now is the time for everyone to stop non-essential contact with others and to stop all unnecessary travel.","0,0,1,1,0,0,0,0"
"We need people to start working from home where they possibly can. And you should avoid pubs, clubs, theatres and other such social venues.","0,0,1,0,0,0,0,0"
"It goes without saying, we should all only use the NHS when we really need to. And please go online rather than ringing NHS 111.","0,0,0,0,0,0,0,0"
"Now, this advice about avoiding all unnecessary social contact, is particularly important for people over 70, for pregnant women and for those with some health conditions.","0,0,0,0,0,0,0,0"
"And if you ask, why are we doing this now, why now, why not earlier, or later? Why bring in this very draconian measure?
The answer is that we are asking people to do something that is difficult and disruptive of their lives.","0,0,0,0,0,0,0,0"
"And the right moment, as we’ve always said, is to do it when it is most effective, when we think it can make the biggest difference to slowing the spread of the disease, reducing the number of victims, reducing the number of fatalities.
And as we take these steps we should be focusing on the most vulnerable.","0,0,0,0,0,0,0,0"
"So third, in a few days’ time – by this coming weekend – it will be necessary to go further and to ensure that those with the most serious health conditions are largely shielded from social contact for around 12 weeks.","0,0,1,0,0,0,0,0"
"And again the reason for doing this in the next few days, rather than earlier or later, is that this is going to be very disruptive for people who have such conditions, and difficult for them, but, I believe, it’s now necessary.","0,0,0,0,0,0,0,0"
"And we want to ensure that this period of shielding, this period of maximum protection coincides with the peak of the disease. And it’s now clear that the peak of the epidemic is coming faster in some parts of the country than in others.","0,0,0,0,0,0,0,0"
"And it looks as though London is now a few weeks ahead. So, to relieve the pressure on the London health system and to slow the spread in London, it’s important that Londoners now pay special attention to what we are saying about avoiding non-essential contact, and to take particularly seriously the advice about working from home, and avoiding confined spaces such as pubs and restaurants.","0,0,1,0,0,0,0,0"
"Lastly, it remains true as we have said in the last few weeks that risks of transmission of the disease at mass gatherings such as sporting events are relatively low. But obviously, logically as we advise against unnecessary social contact of all kinds, it is right that we should extend this advice to mass gatherings as well.","0,0,0,1,0,0,0,0"
"And so we’ve also got to ensure that we have the critical workers we need, that might otherwise be deployed at those gatherings, to deal with this emergency. So from tomorrow, we will no longer be supporting mass gatherings with emergency workers in the way that we normally do. So mass gatherings, we are now moving emphatically away from.","0,0,0,1,0,0,0,0"
"And I know that many people – including millions of fit and active people over 70 – may feel, listening to what I have just said, that there is something excessive about these measures. But I have to say, I believe that they are overwhelmingly worth it to slow the spread of the disease, to reduce the peak, to save life, minimise suffering and to give our NHS the chance to cope.","0,0,0,0,0,0,0,1"
"Over the last few days, I have been comparing notes and talking to leaders around the world and I can tell you that the UK is now leading a growing global campaign amongst all our friends and allies, whether in the G7, the G20, the UN, the IMF – all those bodies in which we play a significant role.","0,0,0,0,0,0,0,0"
"We’re leading a campaign to fight back against this disease. To keep the economy growing, to make sure that humanity has access to the drugs and the treatments that we all need, and the UK is also at the front of the effort to back business, to back our economy, to make sure that we get through it.","0,0,0,0,0,0,0,0"
"I know that today we are asking a lot of everybody. It is far more now than just washing your hands - though clearly washing your hands remains important. But I can tell you that across this country, people and businesses in my experience are responding with amazing energy and creativity to the challenge that we face, and I want to thank everybody for the part that you are playing and are going to play.","0,0,0,0,0,0,0,0"
"Today the Foreign & Commonwealth Office (FCO) has advised against all non-essential international travel, initially for a period of 30 days. This advice takes effect immediately.","1,0,0,1,0,0,0,0"
This change in travel advice reflects the pace at which other countries are either closing their borders or implementing restrictive measures in response to the global coronavirus pandemic.,"0,0,0,0,0,0,0,0"
Often there is little or no notice when countries take these steps and restrictions are also being imposed in areas where no cases of coronavirus have yet been reported. They are therefore very difficult to predict.,"0,0,0,0,0,0,0,0"
"British people who decide that they still need to travel abroad should be fully aware of the increased risks of doing so. That includes the risk that they may not be able to get home, if travel restrictions are put in place. Anyone still considering travel needs to be realistic about the level of disruption they are willing and able to endure, and to make decisions in light of the unprecedented conditions we face.","0,0,0,1,0,0,0,0"
"We are not currently advising British people to immediately return to the UK if they are overseas, except for a few countries detailed in our travel advice. However, British people should keep in mind that flights may be cancelled at short notice or other travel restrictions may be put in place by foreign governments.","0,0,0,0,0,0,0,0"
"If people do want to return to the UK soon, then they need to take account of the fast moving situation and plan accordingly, while flights remain available in many places.","0,0,0,0,0,0,0,0"
"Foreign Secretary, Dominic Raab, said: UK travellers abroad now face widespread international border restrictions and lock downs in various countries. The speed and range of those measures across other countries is unprecedented.","0,0,0,0,0,0,0,0"
"Foreign Secretary, Dominic Raab, said So I have taken the decision to advise British nationals against all non-essential international travel.","1,0,0,1,0,0,0,0"
Whether travel is essential or not is a personal decision and circumstances differ from person to person. It is for individuals themselves to make an informed decision based on the risks and FCO advice. Anyone still planning to travel should check the validity of their travel insurance.,"0,0,0,0,0,0,0,0"
"UK inward and outward travel has already fallen by a significant amount since the outbreak of coronavirus. Ryanair, Virgin and EasyJet have cut flights by 80% this month and IAG has decreased capacity by 75%
","0,0,0,0,0,0,0,0"
The UK’s extensive diplomatic network is continuing to work around the world to support British people at the greatest risk of exposure to the virus.,"0,0,0,0,0,0,0,0"
In the last week alone 430 changes have been made to FCO Travel Advice.,"0,0,0,0,0,0,0,0"
"We will continue to do everything in our power to get those British nationals affected the care, support and advice they need. We are also working urgently to ensure international governments have sensible plans to enable the return of British and other travellers and, crucially, that they keep borders open for enough time to allow people to return home on commercial flights.","0,0,0,0,1,0,0,0"
"British nationals who become ill overseas should, in the first instance, seek care and support from the country they are in.","0,0,0,0,0,0,0,0"
This guidance follows the domestic measures announced by the Prime Minister on Monday and forms part of the national effort to meet the international challenge presented by coronavirus.,"1,0,0,0,0,0,0,0"
"Good afternoon. And thanks for coming or for indeed tuning in to these daily updates. I want to introduce, I’m sure you know Jenny Harries, Deputy Chief Medical Officer for England, and you know Sir Patrick Vallance, Chief Scientific Advisor.","0,0,0,0,0,0,0,0"
I want to tell you where we got to in our national fightback against the coronavirus. Today the Scientific Advisory Group for Emergencies met to discuss the latest evidence on the spread of the virus and the effects of the measures we have already taken to slow its spread. And Patrick is going to update us in a second about that.,"0,0,0,0,0,0,0,1"
"I want to repeat that everyone – everyone – must follow the advice to protect themselves and their families, but also – more importantly – to protect the wider public. So stay at home for seven days if you think you have the symptoms. Remember the two key symptoms are high temperature, a continuous new cough.","0,0,1,0,0,0,0,0"
"Whole household to stay at home for 14 days if one member in that household thinks he/she has the symptoms. Avoid all unnecessary gatherings – pubs, clubs, bars, restaurants, theatres and so on and work from home if you can. Wash your hands.","0,0,1,1,0,0,0,0"
"And we have already announced in the last few days we will massively scale up our testing capacity in the weeks ahead so we hit 25,000 tests a day.","1,0,0,0,0,0,0,0"
A huge public information campaign is being rolled out so people get all the information they need to protect themselves and others.,"0,0,0,0,0,0,0,1"
"We are asking retired healthcare professionals to come back and help us cope, help the NHS to cope, with this unprecedented challenge.","1,0,0,0,0,0,0,0"
And we will continue as we have from the beginning to do the right thing at the right time and to follow the best scientific advice.,"0,0,0,0,0,0,0,0"
And we come today to the key issue of schools where we have been consistently advised that there is an important trade off. And so far the judgment of our advisers has been that closing schools is actually of limited value in slowing the spread of the epidemic.,"0,0,0,0,0,0,0,0"
And that is partly because counterintuitively schools are actually very safe environments. And in this disease and epidemic children and young people are much less vulnerable.,"0,0,0,0,0,0,0,0"
And hitherto the advice has been that we should keep schools open if possible in order to reduce the pressure on the NHS and on all other public services. But I think you’ll agree I have always been very clear that this is a balanced judgment and one that we have kept under constant review.,"0,0,0,0,0,0,0,0"
"So looking at the curve of the disease and looking at where we are now – we think now that we must apply downward pressure, further downward pressure on that upward curve by closing the schools.","0,0,0,1,0,0,0,0"
"So I can announce today and Gavin Williamson making statement now in House of Commons that after schools shut their gates from Friday afternoon, they will remain closed for most pupils – for the vast majority of pupils- until further notice. I will explain what I mean by the vast majority of pupils.","1,0,0,1,0,0,0,0"
"The objective is to slow the spread of the virus and we judge it is the right moment to do that. But of course, as I’ve always said, we also need to keep the NHS going and to treat the number of rising cases. So we need health workers who are also parents to continue to go to work.","0,0,0,0,0,0,0,0"
"And we need other critical workers with children to keep doing their jobs too – from police officers who are keeping us safe to the supermarket delivery drivers, social care workers who look after the elderly and who are so vital. We will be setting out more details shortly about who we mean in these groups.","0,0,0,0,0,0,0,0"
So we therefore need schools to make provision for the children of these key workers who would otherwise be forced to stay home. And they will also need to look after the most vulnerable children.,"0,0,0,0,0,0,0,0"
This will mean there will of course be are far fewer children in schools and that will help us to slow the spread of the disease. And these measures are crucial to make sure the critical parts of the economy keep functioning and public services keep functioning.,"0,0,0,0,0,0,0,0"
"So we are simultaneously asking nurseries and private schools to do the same, and we are providing financial support where it is needed. We are making provisions to supply meals and vouchers for children eligible for free school meals. And where some schools are already doing this, I want to make it clear we will reimburse the cost. And of course this does mean that exams will not take place as planned in May and June. Though we will make sure that pupils get the qualifications they need and deserve for their academic career.","1,0,0,1,0,0,0,0"
"Now I know that these steps will not be easy for parents or teachers. And for many parents, this will be frustrating, and it will make it harder for them to go out to work.","0,0,0,0,0,0,0,0"
And of course that is one of the reasons we haven’t wanted to go ahead and that’s why we are working now on further measures to ensure that we support not just businesses but also individuals and their families to keep our economy going as Rishi Sunak the Chancellor outlined yesterday.,"1,0,0,0,0,0,0,0"
"I also need to remind parents that, as we have already advised, children should not be left with older grandparents, or older relatives, who may be particularly vulnerable or fall into some of the vulnerable groups and I know that will be difficult too. And I want to thank families for their sacrifice at this difficult time. I want to thank whole country for the efforts people are making to comply with these measures.","0,0,0,0,0,0,0,0"
"I particularly want to thank the teachers, head teachers and all the support staff who keep schools going who will make these exceptional arrangements work, for the benefit of us all.","0,0,0,0,0,0,0,0"
"By looking after the children of key workers they will be a critical part of our fightback against Coronavirus. As I have said, we will take the right steps at the right time, guided by the science.","0,0,0,0,0,0,0,0"
"We believe the steps we have already taken, together with those I am announcing today, are already slowing the spread of the disease. But we will not hesitate to go further, and faster, in the days and weeks ahead. And we will do whatever it takes to so that we beat it together.","0,0,0,0,0,0,0,0"
"Measures to close entertainment, hospitality and indoor leisure premises across the country to take place from the end of trading hours today (Friday 20 March) to limit spread of coronavirus  ","0,0,0,1,0,0,0,0"
"New measures will further limit people’s sustained social contact as we tackle the spread of coronavirus, guided by scientific evidence","0,0,1,0,0,0,0,0"
Public urged to stay at home and limit all but essential travel - people who can work from home should do so ,"0,0,1,1,0,0,0,0"
"To delay the spread of coronavirus, the government has instructed some businesses and venues including all pubs, bars and restaurants to close from tonight. This follows expert advice that more needs to be done in order to tackle the spread of infection - following  the call  to action to isolate or socially distance.","0,0,0,1,0,0,0,0"
"The closures will help limit the spread of coronavirus by helping to stop non-essential contact and unnecessary travel, in line with the public guidance announced earlier this week.","0,0,1,1,0,0,0,0"
"The measures will be reviewed on a monthly basis, and are being implemented across the whole of the UK in agreement with the devolved administrations. If needed, the government will enforce these measures by law.","0,0,0,0,0,0,0,0"
"This will not affect supermarkets or retailers that supply fuel, medicines and other vital goods, which will continue to be open as normal for the public.","0,0,0,0,0,0,0,0"
"The following businesses and venues have been asked to close: 
Food and drink venues for consumption on-site, such as restaurants and cafes.
Drinking establishments, including pubs, bars, nightclubs.
Entertainment venues, including cinemas, theatres, concert halls, and bingo halls.
Museums and galleries.
Spas and massage parlours.
Casinos and betting shops.
All indoor leisure and sports facilities, including gyms.","0,0,0,1,0,0,0,0"
"This measure will not impact the relaxation of planning rules announced earlier this week which will allow pubs and restaurants to operate as hot food takeaways during the coronavirus outbreak, which will help to support people who are staying at home through this period.","0,0,0,0,0,0,0,0"
"The government has also urged the public to take further steps to protect themselves and the wider population from the coronavirus, including:  Everyone to stay at home unless they need to get essential supplies such as food and medicines. ","0,0,1,0,0,0,0,0"
"The government has also urged the public to take further steps to protect themselves and the wider population from the coronavirus, including: All those able to work from home to do so, unless their work is essential. ","0,0,1,0,0,0,0,0"
"The government has also urged the public to take further steps to protect themselves and the wider population from the coronavirus, including:  Everyone to stay at home unless they need to get essential supplies such as food and medicines. ","0,0,0,1,0,0,0,0"
"The closures announced today will not impact the running of public transport, and government continues to work closely with transport operators to ensure that people who need to get to work can continue to do so.","0,0,0,0,0,0,0,0"
"Yesterday, the government and rail industry agreed a plan that will see a gradual reduction in train services across the country to reflect lower passenger demand as people change their travel patterns to help reduce the spread of coronavirus, while keeping vital rail services running. The decision to introduce further measures has been taken based on the latest advice from the world-leading health and scientific experts advising the government.","1,0,0,1,0,0,0,0"
"When infection rates come down, the government will remove measures as soon as it is safe to do so, guided by scientific advice. ","0,0,0,0,0,0,0,1"
"The government is working urgently to further improve testing and monitoring, which will also help in relaxing the measures as soon as possible. ","0,0,0,0,0,0,0,0"
Communities Secretary Rt Hon Robert Jenrick MP said:  We will do whatever it takes to protect people across this country as we tackle the coronavirus outbreak. ,"0,0,0,0,0,0,0,0"
"Communities Secretary Rt Hon Robert Jenrick MP said: While people have responded well to calls for social distancing and self-isolation, we must go further if we are to be able to stop the spread of the virus and protect the most vulnerable people in our society, and our NHS","0,0,0,0,0,0,0,0"
"Communities Secretary Rt Hon Robert Jenrick MP said:That is why we are now telling entertainment and hospitality premises to close temporarily, and people to only travel if absolutely essential, to help protect each other from the further spread of the virus.","0,0,0,1,0,0,0,0"
Communities Secretary Rt Hon Robert Jenrick MP said: We stand behind businesses and their employees and are offering an unprecedented range of support as we tackle this huge challenge together.,"0,0,0,0,0,0,0,0"
"Good afternoon and thank you for coming again, Today I am joined by the Chancellor of the Exchequer Rishi Sunak and Jennie Harries deputy chief medical officer.","0,0,0,0,0,0,0,0"
"Yesterday I set out the ambition of this government to turn the tide against coronavirus within 3 months. And I want to repeat that determination today. We are going to do it with testing. We are going to do it with new medicines, and with new digital technology that will help us to see the disease as it is transmitted, and thereby, by eliminating it, to stamp it out.","0,0,0,0,0,0,0,1"
"And above all, now we are going to defeat this disease with a huge national effort to slow the spread by reducing unnecessary social contact.","0,0,1,0,0,0,0,0"
"And I want to thank everyone for following the guidance we issued on Monday: to stay at home for 7 days if you think you have the symptoms,","0,0,1,0,0,0,0,0"
for 14 days if anyone in your household has either of the symptoms – a new continuous cough or a high temperature,"0,0,1,0,0,0,0,0"
"To avoid pubs, bars, clubs and restaurants.","0,0,1,0,0,0,0,0"
To work from home if at all possible.,"0,0,1,0,0,0,0,0"
"Keep washing your hands. I know it has been tough.
I know it has been inconvenient.","0,0,0,0,0,0,0,0"
"But these actions that we’re all taking together are already helping to take the strain off our NHS. Bit by bit, day by day, by your actions, your restraint and your sacrifice, we are putting this country in a better and stronger position, where we will be able to save literally thousands of lives, of people of all ages, people who don’t deserve to die now.","0,0,0,0,0,0,0,0"
"People whose lives can, must, and will be saved. And as we take these actions together and as we make these sacrifices, we can see the impact on the real economy.","0,0,0,0,0,0,0,0"
"Already, fantastic British companies, already under huge strain, big and small. Workers who are finding that their jobs are under threat or are going, through no fault of their own. And to all of them, we in government say: We will stand by you.","0,0,0,0,0,0,0,0"
"And I say that to companies, remember our joint objective: to beat this virus. And we will do everything in our power to help.","0,0,0,0,0,0,0,0"
"And in just a minute, Rishi is going to explain how we are going to help workers of all kinds to get through this crisis,","0,0,0,0,0,0,0,1"
"Supporting you directly in a way that Government has never been done before, in addition to the package we have already set out for business. And of course these measures are intended to be temporary and of course I am confident that, in time, the UK economy is going to bounce back.","0,0,0,0,0,0,0,0"
"Of course it is. But I must be absolutely clear with you: the speed of that eventual recovery depends entirely on our ability, our collective ability, to get on top of the virus now.","0,0,0,0,0,0,0,0"
"And that means we have to take the next steps, on scientific advice and following our plan, we are strengthening the measures announced on Monday which you will remember.","1,0,0,0,0,0,0,0"
And of course people have already made a huge effort to comply with those measures for avoiding unnecessary social contact.,"0,0,0,0,0,0,0,0"
"But we need now to push down further on that curve of transmission between us. And so following agreement between all the formations of the United Kingdom, all the devolved administrations,","0,0,0,0,0,0,0,0"
"We are collectively telling, telling cafes, pubs, bars, restaurants to close tonight as soon as they reasonably can, and not to open tomorrow. Though to be clear, they can continue to provide take-out services.","0,0,0,1,0,0,0,0"
"We’re also telling nightclubs, theatres, cinemas, gyms and leisure centres to close on the same timescale.","0,0,0,1,0,0,0,0"
"Now, these are places where people come together, and indeed the whole purpose of these businesses is to bring people together. But the sad things is that today for now, at least physically, we need to keep people apart.","0,0,1,0,0,0,0,0"
"And I want to stress that we will review the situation each month, to see if we can relax any of these measures.","1,0,0,0,0,0,0,0"
"And listening to what I have just said, some people may of course be tempted to go out tonight. But please don’t. You may think you are invincible, but there is no guarantee you will get mild symptoms, and you can still be a carrier of the disease and pass it on to others","0,0,0,0,0,0,0,0"
"So that’s why, as far as possible, we want you to stay at home, that’s how we can protect our NHS and save lives.","0,0,1,0,0,0,0,0"
"To repeat, I know how difficult this is, how it seems to go against the freedom-loving instincts of the British people. And I also know much, right now, workers and business deserve the financial reassurance we are giving them.","0,0,0,0,0,0,0,0"
"But we will get through this. We will get through it together, and we will beat this virus. And to ram that point home: the more effectively we follow the advice that we are given, the faster this country will stage both a medical and an economic recovery in full.","0,0,0,0,0,0,0,0"
"Good afternoon everyone Thank you for coming, and thank you to Robert Jenrick, the Communities Secretary, and Dr Jenny Harries, the Deputy Chief Medical Officer. I want again to thank everyone in the country today for the huge effort that we are collectively making.","0,0,0,0,0,0,0,0"
"I want to thank the amazing workers in the NHS, everybody working in social care, in every sector, in food distribution, transport, you name it – absolutely everyone who is keeping this country going today. And I want to thank everyone who is being forced to do something differently today.","0,0,0,0,0,0,0,0"
"Everyone who didn’t visit their mum for Mother’s Day but Facetimed them, Skyped them, rang them instead. Thank you for your restraint and for what you did.","0,0,0,0,0,0,0,0"
"Everyone who was forced to close a pub or a restaurant or a gym or any other business that could have done fantastic businesses on a great day like this. Thank you for your sacrifice, I know how tough it must be.","0,0,0,0,0,0,0,0"
"And I can tell you again that this government will be standing behind you – behind British business, behind British workers, employees, self-employed – throughout this crisis. And the reason we are taking these unprecedented steps to prop up businesses, support businesses and support our economy and these preventative measures is because we have to slow the spread of the disease and to save thousands of lives.","0,0,0,0,0,0,0,0"
"Today we have come to the stage of our plan that I advertised at the outset, when we first set out the plan of the UK government. When we have to take special steps to protect the particularly vulnerable.","0,0,0,0,0,0,0,0"
I said the moment would come where we needed to shield those with serious conditions. There are probably about 1.5 million in all. And in a minute Robert Jenrick will set out the plan in detail.,"0,0,0,0,0,0,0,1"
But this shielding will do more than any other single measure that we are setting out to save life. That is what we want to do. Also to reduce infection and to slow the spread of the disease.,"0,0,0,0,0,0,0,0"
We have to do more to make sure that the existing measures that we are taking are having the effect that we want. So it is crucial that people understand tomorrow that the schools are closed.,"0,0,0,1,0,0,0,0"
And tomorrow you should not send your child to school unless you have been identified as a key worker.,"0,0,0,1,0,0,0,0"
And more generally in the view of the way people have responded over the last few days to the measures we have set out I want to say a bit more about how we interact outdoors.,"0,0,0,0,0,0,0,0"
Of course I want people to be able to go to the parks and open spaces and to enjoy themselves – it is crucial for health and mental and physical wellbeing. But please follow the advice and don’t think that fresh air in itself automatically provides some immunity.,"0,0,0,0,0,0,0,0"
You have to stay two metres apart; you have to follow the social distancing advice.,"0,0,1,0,0,0,0,0"
"And even if you think you are personally invulnerable, there are plenty of people you can infect and whose lives will then be put at risk. And I say this now – on Sunday evening – take this advice seriously, follow it, because it is absolutely crucial.","0,0,0,0,0,0,0,0"
"And as I have said throughout this process we will keep the implementation of these measures under constant review and, yes of course, we will bring forward further measures if we think that is necessary.","0,0,0,0,0,0,0,1"
Always remember that in following this advice- and I know how difficult that is – that each and every one of us. You are doing your bit in following this advice to slow the spread of this disease.,"0,0,0,0,0,0,0,0"
"The more we collectively slow the spread, the more time we give the NHS to prepare, the more lives we will save, the faster we will get through this. And always remember – we will get through this, and we will beat it together.","0,0,0,0,0,0,0,0"
Next Robert Jenrick to outline the shielding measures.,"0,0,0,0,0,0,0,1"
"Good Evening, The coronavirus is the biggest threat this country has faced for decades – and this country is not alone. All over the world we are seeing the devastating impact of this invisible killer. And so tonight I want to update you on the latest steps we are taking to fight the disease and what you can do to help.","0,0,0,0,0,0,0,1"
"And I want to begin by reminding you why the UK has been taking the approach that we have. Without a huge national effort to halt the growth of this virus, there will come a moment when no health service in the world could possibly cope; because there won’t be enough ventilators, enough intensive care beds, enough doctors and nurses.","0,0,0,0,0,0,0,0"
"And as we have seen elsewhere, in other countries that also have fantastic health care systems, that is the moment of real danger. To put it simply, if too many people become seriously unwell at one time, the NHS will be unable to handle it - meaning more people are likely to die, not just from Coronavirus but from other illnesses as well.","0,0,0,0,0,0,0,0"
"So it’s vital to slow the spread of the disease. Because that is the way we reduce the number of people needing hospital treatment at any one time, so we can protect the NHS’s ability to cope - and save more lives.","0,0,0,0,0,0,0,0"
And that’s why we have been asking people to stay at home during this pandemic.,"0,0,1,0,0,0,0,0"
And though huge numbers are complying - and I thank you all - the time has now come for us all to do more.,"0,0,0,0,0,0,0,0"
From this evening I must give the British people a very simple instruction - you must stay at home.,"0,0,1,0,0,0,0,0"
Because the critical thing we must do is stop the disease spreading between households.,"0,0,0,0,0,0,0,0"
"That is why people will only be allowed to leave their home for the following very limited purposes: shopping for basic necessities, as infrequently as possible","0,0,1,0,0,0,0,0"
"That is why people will only be allowed to leave their home for the following very limited purposes one form of exercise a day - for example a run, walk, or cycle - alone or with members of your household;","0,0,1,0,0,0,0,0"
"That is why people will only be allowed to leave their home for the following very limited purposes: shopping for basic necessities, as infrequently as possible","0,0,1,0,0,0,0,0"
"That is why people will only be allowed to leave their home for the following very limited purposestravelling to and from work, but only where this is absolutely necessary and cannot be done from home.","0,0,1,0,0,0,0,0"
That’s all - these are the only reasons you should leave your home.,"0,0,0,0,0,0,0,0"
